(1, 4, 7, 2, 3, 5, 6, 8, 0) 26
(5, 0, 6, 7, 2, 3, 1, 4, 8) 19
(4, 2, 6, 7, 5, 8, 1, 3, 0) 20
(8, 1, 2, 6, 4, 0, 7, 5, 3) 21
(3, 4, 6, 5, 7, 2, 0, 1, 8) 16
(8, 5, 6, 2, 1, 3, 4, 7, 0) 22
(8, 0, 3, 7, 2, 4, 6, 1, 5) 19
(7, 2, 4, 3, 0, 5, 1, 8, 6) 22
(3, 1, 7, 8, 6, 5, 4, 2, 0) 24
(4, 5, 8, 2, 3, 7, 0, 6, 1) 28
(0, 4, 2, 6, 5, 7, 8, 3, 1) 24
(3, 8, 1, 2, 5, 4, 7, 0, 6) 21
(0, 3, 1, 8, 4, 5, 6, 2, 7) 26
(7, 2, 4, 6, 5, 1, 3, 0, 8) 25
(2, 0, 5, 4, 7, 8, 1, 3, 6) 23
(2, 1, 4, 8, 6, 3, 0, 5, 7) 26
(3, 4, 1, 6, 2, 0, 8, 5, 7) 23
(2, 3, 0, 5, 8, 4, 1, 7, 6) 16
(4, 5, 6, 3, 8, 7, 1, 0, 2) 21
(7, 4, 6, 5, 0, 8, 1, 3, 2) 20
(4, 1, 7, 3, 0, 6, 2, 5, 8) 22
(2, 3, 1, 7, 5, 4, 0, 6, 8) 22
(8, 2, 5, 4, 0, 1, 6, 3, 7) 24
(3, 5, 8, 2, 7, 1, 0, 4, 6) 18
(7, 2, 5, 6, 8, 4, 1, 0, 3) 21
(0, 3, 2, 7, 1, 6, 4, 8, 5) 22
(2, 1, 5, 3, 7, 8, 0, 6, 4) 24
(3, 2, 6, 4, 5, 0, 8, 1, 7) 21
(1, 3, 4, 5, 0, 2, 7, 6, 8) 20
(8, 5, 0, 7, 4, 6, 3, 1, 2) 24
(6, 3, 8, 7, 2, 5, 0, 4, 1) 24
(1, 6, 2, 8, 5, 3, 0, 4, 7) 16
(0, 1, 2, 7, 5, 3, 4, 6, 8) 16
(2, 5, 6, 4, 8, 1, 3, 7, 0) 24
(8, 7, 1, 0, 6, 2, 5, 4, 3) 21
(8, 3, 7, 0, 5, 6, 1, 2, 4) 25
(7, 2, 6, 4, 8, 0, 3, 5, 1) 23
(6, 7, 0, 5, 4, 3, 2, 1, 8) 22
(5, 1, 7, 6, 3, 2, 0, 4, 8) 22
(0, 3, 4, 1, 6, 7, 5, 8, 2) 20
(1, 0, 7, 3, 8, 6, 2, 5, 4) 25
(7, 1, 3, 4, 8, 2, 6, 0, 5) 17
(8, 4, 2, 3, 6, 1, 5, 0, 7) 25
(6, 4, 2, 0, 5, 7, 3, 1, 8) 23
(3, 4, 5, 0, 8, 7, 2, 1, 6) 21
(4, 8, 0, 6, 2, 7, 3, 1, 5) 26
(5, 8, 4, 1, 6, 3, 2, 7, 0) 24
(4, 2, 6, 0, 5, 8, 1, 3, 7) 21
(5, 7, 4, 0, 6, 8, 3, 1, 2) 27
(5, 2, 1, 3, 8, 4, 0, 6, 7) 30
(4, 5, 7, 1, 6, 3, 0, 8, 2) 24
(5, 1, 7, 8, 3, 2, 6, 0, 4) 23
(5, 6, 7, 1, 3, 2, 8, 0, 4) 21
(7, 0, 8, 6, 5, 3, 2, 1, 4) 27
(5, 0, 2, 3, 8, 1, 6, 7, 4) 25
(2, 8, 6, 1, 4, 5, 7, 3, 0) 20
(1, 7, 8, 5, 2, 3, 6, 4, 0) 24
(5, 1, 6, 8, 4, 2, 7, 0, 3) 21
(8, 3, 0, 6, 5, 1, 2, 4, 7) 26
(3, 4, 5, 2, 7, 0, 1, 8, 6) 17
(7, 3, 5, 8, 0, 1, 6, 4, 2) 22
(3, 7, 0, 6, 1, 8, 4, 5, 2) 24
(7, 2, 8, 3, 6, 5, 1, 0, 4) 23
(7, 5, 6, 2, 8, 1, 3, 4, 0) 26
(2, 8, 1, 6, 5, 7, 0, 3, 4) 28
(7, 8, 4, 0, 5, 6, 2, 1, 3) 27
(4, 5, 0, 8, 3, 6, 2, 1, 7) 18
(8, 1, 3, 2, 7, 4, 0, 6, 5) 18
(5, 2, 8, 1, 3, 6, 0, 7, 4) 20
(1, 2, 4, 5, 3, 6, 7, 8, 0) 14
(3, 2, 1, 7, 6, 4, 5, 0, 8) 23
(4, 6, 3, 7, 8, 0, 5, 2, 1) 21
(8, 7, 6, 5, 4, 3, 0, 2, 1) 28
(7, 6, 0, 1, 2, 8, 3, 4, 5) 24
(2, 3, 7, 1, 5, 0, 4, 8, 6) 13
(1, 6, 3, 0, 5, 7, 4, 2, 8) 19
(6, 4, 8, 3, 0, 7, 1, 2, 5) 24
(3, 8, 0, 2, 6, 4, 1, 7, 5) 18
